det_x,det_f,powers
0,14,6.265309801347277
0,52,7.798849321989827
0,57,7.884911978079796
0,58,8.407640879425667
1,8,7.308987613224185
1,10,7.281386896331721
1,12,8.686762803473584
1,13,9.592220327440875
1,14,7.6773049644707845
1,15,7.3043829708773185
1,56,12.603490025876845
1,57,9.26837830947547
1,59,8.469545198493257
2,1,15.313714573454167
2,2,15.006039537434543
2,3,16.34962168471303
2,8,7.836373569540894
2,9,6.896785302537863
2,11,7.626494408847115
2,12,6.911422835192527
2,13,6.544014472907878
2,14,6.715191113369844
2,15,7.595456357179012
2,50,8.426803944890139
3,1,12.994357565466109
3,2,14.264621412286646
3,3,14.547092972234314
3,9,6.949479815313832
3,10,6.274449203586228
3,11,6.6596841415410735
3,13,6.642120984350043
3,15,6.9036024388839605
4,2,12.3138514572862
4,4,10.859396499114636
4,5,11.87185067767671
4,10,8.54199076686849
4,50,5.915315197109347
4,53,7.883764848882661
4,54,8.72384083660258
4,55,8.384932027732122
4,56,9.384540378047559
4,57,8.846784347585807
4,59,7.609022148955912
5,0,12.385340693727557
5,1,13.930317702452903
5,2,14.775470127279979
5,3,17.354976491054384
5,4,15.085854769788247
5,6,16.230923325811283
5,8,16.529730323866506
5,9,10.224999327270544
5,10,8.990591194968161
5,11,8.59226727217373
5,49,6.235650320386319
5,50,7.152360602475255
5,51,5.576694984840864
5,56,9.420783234400597
5,57,9.221291338209683
5,58,9.005480597879089
5,59,7.807190522292046
6,1,16.255300625125898
6,2,17.817150983817033
6,3,18.621295055817406
6,8,16.345247255865047
6,9,8.423929476022767
6,10,10.218232627232883
6,23,14.690624947677529
6,50,6.660403047722604
6,52,8.358596222245357
6,53,8.48435850677741
6,54,8.688208034591135
6,55,8.7109558931755
6,57,8.896863826897349
6,58,7.952912543644347
7,8,7.887218921189296
7,9,9.685255108880524
7,10,8.579497178965397
7,22,14.268061851043639
7,49,6.908086619425897
7,50,7.053944465504407
7,51,10.829374259265519
7,52,9.54563383051591
7,53,7.346498620389731
7,54,11.760856060853037
7,55,7.1272269060134175
7,56,7.17590467096362
7,57,6.662930532494969
7,58,6.809667525347918
8,8,8.214051288205022
8,9,8.551920317655078
8,10,9.853219894972272
8,11,8.019728917889337
8,14,8.171502131343955
9,8,20.526875833575325
9,9,10.61975310002462
9,10,9.114287683647312
9,11,7.478047503447099
9,12,7.507617478696856
9,13,8.719979020879702
9,14,8.060802943690781
9,15,16.483288469861144
9,49,5.505956251481069
9,50,5.009311360452142
9,51,5.521037871515911
10,8,26.222522681256027
10,9,8.593573576216464
10,10,9.415300628581477
10,11,8.6994772899044
10,12,8.098928966547145
10,14,7.617864216396643
10,15,15.0865269363351
10,51,5.192731495362376
10,53,5.321754598456621
11,24,5.219242268794382
11,50,6.303436884127775
11,51,7.194367255874585
11,52,6.200184396819618
11,53,6.561525920277196
11,54,7.7238558837434
11,55,6.379412494134473
11,57,6.515886373290272
12,25,3.6274971691257196
12,27,3.549103895381468
12,32,3.6614862713375476
12,33,3.224955926300018
12,52,5.265342967942598
12,56,7.108998088487045
12,57,7.5623321651661595
12,58,7.654288495688864
13,26,3.8103307273380893
13,49,5.105764389652872
14,24,5.450933678575012
14,26,3.3674057680427376
14,49,6.309468148647387
